contractSymbol,strike,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark,sector,industry,grossMargins,targetLowPrice,recommendationKey,targetMedianPrice,currentPrice,targetMeanPrice,targetHighPrice,pegRatio,forwardPE,fiftyDayAverage,recommendationMean,recordTime
AAPL220408C00100000,100.0,0.0,0.0,0.0,0.0,1.0,51,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00110000,110.0,0.0,0.0,0.0,0.0,10.0,7,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00120000,120.0,0.0,0.0,0.0,0.0,22.0,69,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00125000,125.0,0.0,0.0,0.0,0.0,5.0,93,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00130000,130.0,0.0,0.0,0.0,0.0,4.0,85,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00135000,135.0,0.0,0.0,0.0,0.0,2.0,32,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00140000,140.0,0.0,0.0,0.0,0.0,88.0,332,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00145000,145.0,0.0,0.0,0.0,0.0,10.0,150,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00146000,146.0,0.0,0.0,0.0,0.0,20.0,22,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00149000,149.0,0.0,0.0,0.0,0.0,5.0,15,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00150000,150.0,0.0,0.0,0.0,0.0,46.0,848,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00152500,152.5,0.0,0.0,0.0,0.0,9.0,172,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00155000,155.0,0.0,0.0,0.0,0.0,43.0,1485,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00157500,157.5,0.0,0.0,0.0,0.0,116.0,244,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00160000,160.0,0.0,0.0,0.0,0.0,1631.0,5489,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00162500,162.5,0.0,0.0,0.0,0.0,177.0,1171,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00165000,165.0,0.0,0.0,0.0,0.0,266.0,10687,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00167500,167.5,0.0,0.0,0.0,0.0,569.0,3251,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00170000,170.0,0.0,0.0,0.0,0.0,3429.0,35775,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00172500,172.5,0.0,0.0,0.0,0.0,2082.0,6374,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00175000,175.0,0.0,0.0,0.0,0.0,39697.0,31327,1.0000000000000003e-05,True,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00177500,177.5,0.0,0.0,0.0,0.0,91210.0,33183,0.0312596875,False,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
AAPL220408C00180000,180.0,0.0,0.0,0.0,0.0,126369.0,75210,0.062509375,False,2022-04-08,True,0.0,Technology,Consumer Electronics,0.43019,160,buy,199.5,175.06,193.53,215,1.9500000000000002,26.685976,167.6104,1.8,2022-04-06 08:03:00.626463
